"office","name","party","year"
"Court of Criminal Appeals Seat 4","Clinton","D",2020
"State Board of Education District 9","Ellis","R",2020
"State Board of Education District 9","Davis","D",2020
"State Representative District 8","Harris","R",2020
"Court of Criminal Appeals Seat 9","Newell","R",2020
"Court of Criminal Appeals Seat 9","Birmingham","D",2020
"US Representative District 11","Hogg","D",2020
"US Representative District 11","Pfluger","R",2020
"State Board of Education District 15","Betancourt","D",2020
"State Board of Education District 15","Johnson","R",2020
"US Representative District 1","Gohmert","R",2020
"US Representative District 1","Gilbert","D",2020
"State Representative District 57","Ashby","R",2020
"State Representative District 57","Rogers","D",2020
"US Representative District 27","Cloud","R",2020
"US Representative District 27","De La Fuente","D",2020
"State Senator District 18","Kolkhorst","R",2020
"State Senator District 18","Antalan","D",2020
"US Representative District 13","Trujillo","D",2020
"US Representative District 13","Jackson","R",2020
"US Representative District 28","Cuellar","D",2020
"US Representative District 28","Whitten","R",2020
"State Board of Education District 1","Perez","D",2020
"State Board of Education District 1","Ivey","R",2020
"State Senator District 19","Flores","R",2020
"State Senator District 21","Zaffirini","D",2020
"State Senator District 19","Gutierrez","D",2020
"State Senator District 21","Pomeroy","R",2020
"State Representative District 31","Guillen","D",2020
"State Representative District 31","Knowlton","R",2020
"US Representative District 10","McCaul","R",2020
"US Representative District 10","Siegel","D",2020
"State Board of Education District 10","Maynard","R",2020
"State Board of Education District 10","Burnett-Webster","D",2020
"US Representative District 19","Arrington","R",2020
"US Representative District 19","Watson","D",2020
"US Representative District 21","Roy","R",2020
"US Representative District 21","Davis","D",2020
"State Senator District 24","Buckingham","R",2020
"State Senator District 24","Tucker","D",2020
"State Representative District 53","Murr","R",2020
"State Representative District 53","Herrera","D",2020
"US Representative District 17","Sessions","R",2020
"US Representative District 17","Kennedy","D",2020
"State Representative District 17","Cyrier","R",2020
"State Representative District 17","Eden","D",2020
"US Representative District 34","Vela","D",2020
"US Representative District 34","Gonzalez","R",2020
"US Representative District 31","Carter","R",2020
"US Representative District 25","Williams","R",2020
"US Representative District 31","Imam","D",2020
"US Representative District 25","Oliver","D",2020
"State Representative District 54","Buckley","R",2020
"State Representative District 54","Williams","D",2020
"US Representative District 35","Doggett","D",2020
"US Representative District 23","Gonzales","R",2020
"US Representative District 20","Castro","D",2020
"US Representative District 35","Garcia Sharon","R",2020
"US Representative District 23","Ortiz Jones","D",2020
"US Representative District 20","Garza","R",2020
"State Board of Education District 5","Bell-Metereau","D",2020
"State Board of Education District 5","Popp","R",2020
"State Senator District 26","Menendez","D",2020
"State Representative District 119","Campos","D",2020
"State Representative District 118","Pacheco","D",2020
"State Representative District 117","Cortez","D",2020
"State Representative District 125","Lopez","D",2020
"State Representative District 116","Martinez Fischer","D",2020
"State Representative District 122","Larson","R",2020
"State Representative District 121","Allison","R",2020
"State Representative District 120","Gervin-Hawkins","D",2020
"State Representative District 119","Garza","R",2020
"State Representative District 118","Salyer","R",2020
"State Representative District 117","Raymond","R",2020
"State Representative District 116","Litoff","R",2020
"State Representative District 122","Barnett","D",2020
"State Representative District 121","Montoya","D",2020
"State Representative District 120","Payne","R",2020
"State Representative District 45","Zwiener","D",2020
"State Representative District 45","Isaac","R",2020
"State Representative District 83","Burrows","R",2020
"State Representative District 83","Perry-Franks","D",2020
"State Board of Education District 14","Melton","R",2020
"State Board of Education District 14","Alvord","D",2020
"State Senator District 22","Birdwell","R",2020
"State Senator District 22","Vick","D",2020
"State Representative District 58","Burns","R",2020
"State Representative District 58","Rocha","D",2020
"US Representative District 4","Fallon","R",2020
"US Representative District 4","Foster","D",2020
"State Senator District 1","Hughes","R",2020
"State Senator District 1","Spanko","D",2020
"US Representative District 14","Weber","R",2020
"US Representative District 22","Kulkarni","D",2020
"US Representative District 14","Bell","D",2020
"US Representative District 22","Nehls","R",2020
"State Senator District 11","Taylor","R",2020
"State Senator District 11","Criss","D",2020
"State Representative District 25","Henry","D",2020
"State Representative District 29","Thompson","R",2020
"State Representative District 25","Vasut","R",2020
"State Representative District 29","Boldt","D",2020
"State Board of Education District 8","Young","R",2020
"State Representative District 14","Raney","R",2020
"State Representative District 14","Dudding","D",2020
"State Representative District 74","Morales","D",2020
"State Representative District 74","Falcon","R",2020
"US Representative District 15","Gonzalez","D",2020
"US Representative District 15","De La Cruz","R",2020
"State Senator District 20","Hinojosa","D",2020
"State Senator District 20","Cutright","R",2020
"State Representative District 20","Wilson","R",2020
"State Representative District 20","Tiedt","D",2020
"State Senator District 27","Lucio","D",2020
"State Senator District 27","Tijerina","R",2020
"State Representative District 5","Hefner","R",2020
"State Representative District 5","Prince","D",2020
"US Representative District 36","Babin","R",2020
"US Representative District 36","Lewis","D",2020
"State Senator District 4","Creighton","R",2020
"State Senator District 4","Stittleburg","D",2020
"State Representative District 23","Middleton","R",2020
"State Representative District 23","Antonelli","D",2020
"State Representative District 11","Clardy","R",2020
"State Representative District 11","Johnson","D",2020
"State Representative District 68","Springer","R",2020
"State Representative District 68","Ledbetter","D",2020
"US Representative District 3","Taylor","R",2020
"US Representative District 32","Allred","D",2020
"US Representative District 3","Seikaly","D",2020
"US Representative District 32","Collins","R",2020
"State Representative District 70","Sanford","R",2020
"State Representative District 67","Leach","R",2020
"State Representative District 89","Noble","R",2020
"State Representative District 33","Holland","R",2020
"State Representative District 66","Shaheen","R",2020
"State Representative District 70","Bado","D",2020
"State Representative District 67","Sanchez","D",2020
"State Representative District 89","Ash","D",2020
"State Representative District 33","Rose","D",2020
"State Representative District 66","Hirsch","D",2020
"State Representative District 73","Biedermann","R",2020
"State Representative District 73","Phillips","D",2020
"State Senator District 29","Blanco","D",2020
"State Senator District 29","Hatch","R",2020
"US Representative District 30","Bernice Johnson","D",2020
"US Representative District 24","Van Duyne","R",2020
"US Representative District 26","Burgess","R",2020
"US Representative District 33","Veasey","D",2020
"US Representative District 30","Pennie","R",2020
"US Representative District 24","Valenzuela","D",2020
"US Representative District 26","Iannuzzi","D",2020
"US Representative District 33","Cordova Vasquez","R",2020
"State Representative District 114","Turner","D",2020
"State Representative District 107","Neave","D",2020
"State Representative District 109","Sherman","D",2020
"State Representative District 108","Meyer","R",2020
"State Representative District 113","Bowers","D",2020
"State Representative District 112","Button","R",2020
"State Representative District 102","Ramos","D",2020
"State Representative District 103","Anchia","D",2020
"State Representative District 115","Johnson","D",2020
"State Representative District 105","Meza","D",2020
"State Representative District 114","Del Rosal","R",2020
"State Representative District 107","Smith","R",2020
"State Representative District 109","Allen","R",2020
"State Representative District 108","Cattanach","D",2020
"State Representative District 113","Douglas","R",2020
"State Representative District 112","Chambers","D",2020
"State Representative District 102","Koop","R",2020
"State Representative District 103","Fortenberry","R",2020
"State Representative District 115","Brownlee","R",2020
"State Representative District 105","Hernandez","R",2020
"State Representative District 62","Smith","R",2020
"State Representative District 62","Thomas","D",2020
"State Senator District 12","Nelson","R",2020
"State Senator District 12","Zitoon","D",2020
"State Representative District 64","Stucky","R",2020
"State Representative District 106","Patterson","R",2020
"State Representative District 65","Beckley","D",2020
"State Representative District 63","Parker","R",2020
"State Representative District 64","Brewer","D",2020
"State Representative District 106","Skidonenko","D",2020
"State Representative District 65","Thimesch","R",2020
"State Representative District 63","Peeler","D",2020
"US Representative District 6","Wright","R",2020
"US Representative District 6","Daniel","D",2020
"State Representative District 10","Ellzey","R",2020
"US Representative District 16","Escobar","D",2020
"US Representative District 16","Armendariz-Jackson","R",2020
"State Representative District 78","Moody","D",2020
"State Representative District 78","Lane","R",2020
"US Representative District 9","Green","D",2020
"US Representative District 9","Teague","R",2020
"State Senator District 13","Miles","D",2020
"State Senator District 13","Morris","R",2020
"State Representative District 28","Gates","R",2020
"State Representative District 26","DeMerchant","D",2020
"State Representative District 27","Reynolds","D",2020
"State Representative District 28","Markowitz","D",2020
"State Representative District 85","Cardenas","D",2020
"State Representative District 26","Jetton","R",2020
"State Representative District 27","Virippan","R",2020
"State Representative District 85","Stephenson","R",2020
"State Representative District 24","Bonnen","R",2020
"State Representative District 24","Rogers","D",2020
"US Representative District 8","Brady","R",2020
"US Representative District 8","Hernandez","D",2020
"State Representative District 44","Kuempel","R",2020
"State Representative District 44","Bohmfalk","D",2020
"US Representative District 18","Jackson Lee","D",2020
"US Representative District 7","Fletcher","D",2020
"US Representative District 29","Garcia","D",2020
"US Representative District 2","Crenshaw","R",2020
"US Representative District 18","Champion","R",2020
"US Representative District 7","Hunt","R",2020
"US Representative District 29","Blanco","R",2020
"US Representative District 2","Ladjevardian","D",2020
"State Board of Education District 6","Palmer","D",2020
"State Board of Education District 6","Hickman","R",2020
"State Senator District 6","Alvarado","D",2020
"State Representative District 145","Morales","D",2020
"State Representative District 148","Morales Shaw","D",2020
"State Representative District 150","Swanson","R",2020
"State Representative District 146","Thierry","D",2020
"State Representative District 128","Cain","R",2020
"State Representative District 134","Davis","R",2020
"State Representative District 142","Dutton","D",2020
"State Representative District 130","Oliverson","R",2020
"State Representative District 135","Rosenthal","D",2020
"State Representative District 138","Bacy","D",2020
"State Representative District 144","Perez","D",2020
"State Representative District 139","Johnson","D",2020
"State Representative District 129","Paul","R",2020
"State Representative District 126","Harless","R",2020
"State Representative District 133","Murphy","R",2020
"State Representative District 127","Huberty","R",2020
"State Representative District 132","Calanni","D",2020
"State Representative District 137","Wu","D",2020
"State Representative District 149","Vo","D",2020
"State Representative District 145","Fierro","R",2020
"State Representative District 148","LaRotta","R",2020
"State Representative District 150","Walsh","D",2020
"State Representative District 128","Williams","D",2020
"State Representative District 134","Johnson","D",2020
"State Representative District 142","Rowe","R",2020
"State Representative District 130","Henry","D",2020
"State Representative District 135","Ray","R",2020
"State Representative District 138","Hull","R",2020
"State Representative District 144","Salas","R",2020
"State Representative District 129","Alix","D",2020
"State Representative District 126","Hurtado","D",2020
"State Representative District 133","Moore","D",2020
"State Representative District 132","Schofield","R",2020
"State Representative District 149","Truong","R",2020
"State Representative District 4","Bell","R",2020
"State Representative District 41","Guerra","D",2020
"State Representative District 41","Guerra","R",2020
"State Representative District 2","Brannon","D",2020
"State Representative District 2","Slaton","R",2020
"State Representative District 22","Deshotel","D",2020
"State Representative District 22","Randle","R",2020
"State Representative District 71","Lambert","R",2020
"State Representative District 71","Hatton","D",2020
"State Representative District 84","Frullo","R",2020
"State Representative District 84","Gibson","D",2020
"State Representative District 56","Anderson","R",2020
"State Representative District 56","Turner-Pearson","D",2020
"State Representative District 15","Toth","R",2020
"State Representative District 3","Bell","R",2020
"State Representative District 15","Perez McGill","D",2020
"State Representative District 3","Shupp","D",2020
"State Representative District 34","Herrero","D",2020
"State Representative District 32","Hunter","R",2020
"State Representative District 34","Hernandez","R",2020
"State Representative District 32","Holguin","D",2020
"US Representative District 12","Granger","R",2020
"US Representative District 12","Welch","D",2020
"State Representative District 61","King","R",2020
"State Representative District 61","Cox","D",2020
"State Representative District 6","Schaefer","R",2020
"State Representative District 6","Gobble","D",2020
"State Representative District 97","Goldman","R",2020
"State Representative District 90","Romero","D",2020
"State Representative District 96","Drago","D",2020
"State Representative District 93","Krause","R",2020
"State Representative District 92","Whitfield","D",2020
"State Representative District 94","Tinderholt","R",2020
"State Representative District 98","Capriglione","R",2020
"State Representative District 91","Klick","R",2020
"State Representative District 97","Beck","D",2020
"State Representative District 90","Camacho","R",2020
"State Representative District 96","Cook","R",2020
"State Representative District 93","Bean","D",2020
"State Representative District 92","Cason","R",2020
"State Representative District 94","Simmons","D",2020
"State Representative District 98","Edmondson","D",2020
"State Representative District 91","Sims","D",2020
"State Representative District 50","Israel","D",2020
"State Representative District 51","Rodriguez","D",2020
"State Representative District 49","Hinojosa","D",2020
"State Representative District 48","Howard","D",2020
"State Representative District 47","Goodwin","D",2020
"State Representative District 50","Delarose","R",2020
"State Representative District 51","Reynolds","R",2020
"State Representative District 49","Meyer","R",2020
"State Representative District 48","Strieber","R",2020
"State Representative District 47","Berry","R",2020
"State Representative District 136","Bucy","D",2020
"State Representative District 52","Talarico","D",2020
"State Representative District 136","Guevara","R",2020
"State Representative District 52","Valdez","R",2020
"Governor","Abbott","R",2022
"Governor","O'Rourke","D",2022
"Lieutenant Governor","Collier","D",2022
"Lieutenant Governor","Patrick","R",2022
"Attorney General","Garza","D",2022
"Attorney General","Paxton","R",2022
"Comptroller","Dudding","D",2022
"Comptroller","Hegar","R",2022
"Land Commissioner","Buckingham","R",2022
"Land Commissioner","Kleberg","D",2022
"Agriculture Commissioner","Hays","D",2022
"Agriculture Commissioner","Miller","R",2022
"Railroad Commissioner 1","Christian","R",2022
"Railroad Commissioner 1","Warford","D",2022
"Supreme Court Seat 3","Lehrmann","R",2022
"Supreme Court Seat 3","Nowell","D",2022
"Supreme Court Seat 5","Huddle","R",2022
"Supreme Court Seat 5","Reichek","D",2022
"Supreme Court Seat 9","Maldonado","D",2022
"Supreme Court Seat 9","Young","R",2022
"Court of Criminal Appeals Seat 5","Huffman","D",2022
"Court of Criminal Appeals Seat 5","Walker","R",2022
"Court of Criminal Appeals Seat 6","Johnson","D",2022
"Court of Criminal Appeals Seat 6","McClure","R",2022
"State Senator District 3","Nichols","R",2022
"State Senator District 3","Russell","D",2022
"State Representative District 8","Harris","R",2022
"US Representative District 19","Arrington","R",2022
"US Representative District 17","Sessions","R",2022
"US Representative District 17","Woods","D",2022
"State Representative District 9","Ashby","R",2022
"State Representative District 9","Rogers","D",2022
"US Representative District 27","Cloud","R",2022
"US Representative District 27","Perez","D",2022
"State Board of Education District 2","Francis","R",2022
"State Board of Education District 2","Perez","D",2022
"State Senator District 18","Kolkhorst","R",2022
"State Senator District 18","Tutt","D",2022
"US Representative District 13","Brown","D",2022
"US Representative District 13","Jackson","R",2022
"State Representative District 69","Coppage","D",2022
"State Representative District 69","Frank","R",2022
"US Representative District 28","Cuellar","D",2022
"US Representative District 28","Garcia","R",2022
"State Board of Education District 1","Ortega","D",2022
"State Board of Education District 1","Stevens","R",2022
"State Senator District 19","Garza","R",2022
"State Senator District 24","Flores","R",2022
"State Senator District 19","Gutierrez","D",2022
"State Senator District 24","Jones-Hospod","D",2022
"US Representative District 10","McCaul","R",2022
"US Representative District 10","Nuno","D",2022
"State Representative District 85","Baggett","D",2022
"State Representative District 85","Kitzman","R",2022
"US Representative District 21","Roy","R",2022
"US Representative District 21","Zapata","D",2022
"State Representative District 53","Herrera","D",2022
"State Representative District 53","Murr","R",2022
"State Board of Education District 5","Bell-Metereau","D",2022
"State Board of Education District 5","Hopkins","R",2022
"State Senator District 5","Schwertner","R",2022
"State Representative District 17","Eden","D",2022
"State Representative District 17","Gerdes","R",2022
"State Board of Education District 3","Morrow","R",2022
"State Board of Education District 3","Perez","D",2022
"State Senator District 27","Hinojosa","R",2022
"State Senator District 27","LaMantia","D",2022
"State Representative District 55","Sanders","D",2022
"State Representative District 54","Buckley","R",2022
"State Representative District 55","Shine","R",2022
"State Representative District 54","Hildner","D",2022
"US Representative District 35","Casar","D",2022
"US Representative District 20","Castro","D",2022
"US Representative District 23","Gonzales","R",2022
"US Representative District 35","McQueen","R",2022
"US Representative District 23","Lira","D",2022
"US Representative District 20","Sinclair","R",2022
"State Senator District 26","Menendez","D",2022
"State Senator District 21","Dahlberg","R",2022
"State Senator District 25","Campbell","R",2022
"State Senator District 26","Murray","R",2022
"State Senator District 25","Walsh","D",2022
"State Senator District 21","Zaffirini","D",2022
"State Representative District 123","Bernal","D",2022
"State Representative District 124","Arredondo","R",2022
"State Representative District 119","Campos","D",2022
"State Representative District 118","Lujan","R",2022
"State Representative District 117","Cortez","D",2022
"State Representative District 125","Lopez","D",2022
"State Representative District 122","Aramburu","D",2022
"State Representative District 121","Allison","R",2022
"State Representative District 120","Gervin-Hawkins","D",2022
"State Representative District 123","Valdez","R",2022
"State Representative District 124","Garcia","D",2022
"State Representative District 118","Ramirez","D",2022
"State Representative District 117","Schwope","R",2022
"State Representative District 125","Raymond","R",2022
"State Representative District 121","Moyer DeFelice","D",2022
"State Representative District 120","Payne","R",2022
"State Representative District 122","Dorazio","R",2022
"State Representative District 19","Baggett","D",2022
"State Representative District 19","Troxclair","R",2022
"State Board of Education District 14","Brooks","R",2022
"State Board of Education District 14","Fisher","D",2022
"State Senator District 22","Birdwell","R",2022
"State Representative District 13","Davis","D",2022
"State Representative District 13","Orr","R",2022
"US Representative District 1","Jefferson","D",2022
"US Representative District 4","Fallon","R",2022
"US Representative District 1","Moran","R",2022
"US Representative District 4","Omere","D",2022
"State Board of Education District 12","Cornwallis","D",2022
"State Board of Education District 12","Little","R",2022
"US Representative District 14","Weber","R",2022
"US Representative District 22","Jordan","D",2022
"US Representative District 9","Green","D",2022
"US Representative District 14","Williams","D",2022
"US Representative District 9","Leon","R",2022
"US Representative District 22","Nehls","R",2022
"State Board of Education District 7","Hochman","D",2022
"State Board of Education District 7","Pickren","R",2022
"State Senator District 17","Benton","D",2022
"State Senator District 17","Huffman","R",2022
"State Representative District 14","Raney","R",2022
"State Senator District 29","Blanco","D",2022
"State Senator District 29","Zubeldia","R",2022
"State Representative District 74","Morales","D",2022
"State Representative District 74","Parker","R",2022
"US Representative District 15","De La Cruz","R",2022
"US Representative District 15","Vallejo","D",2022
"State Senator District 20","Hinojosa","D",2022
"State Senator District 20","Wright","R",2022
"State Representative District 31","Guillen","R",2022
"State Representative District 31","Gutierrez","D",2022
"State Representative District 71","Goolsbee","D",2022
"State Representative District 71","Lambert","R",2022
"US Representative District 34","Flores","R",2022
"US Representative District 34","Gonzalez","D",2022
"State Representative District 37","Lopez","R",2022
"State Representative District 35","Longoria","D",2022
"State Representative District 37","Villarreal","D",2022
"State Representative District 35","Rosa","R",2022
"State Representative District 87","Price","R",2022
"US Representative District 36","Babin","R",2022
"US Representative District 36","Haire","D",2022
"State Senator District 4","Bishop","D",2022
"State Senator District 4","Creighton","R",2022
"State Representative District 23","Henry","D",2022
"State Representative District 23","Leo-Wilson","R",2022
"US Representative District 32","Allred","D",2022
"US Representative District 3","Self","R",2022
"US Representative District 32","Swad","R",2022
"US Representative District 3","Srivastava","D",2022
"State Senator District 8","Cocks","D",2022
"State Senator District 2","Giadolor","D",2022
"State Senator District 2","Hall","R",2022
"State Senator District 8","Paxton","R",2022
"State Representative District 67","Leach","R",2022
"State Representative District 61","Frazier","R",2022
"State Representative District 70","Jolly","R",2022
"State Representative District 66","Ringness","D",2022
"State Representative District 33","Holland","R",2022
"State Representative District 67","Morris","D",2022
"State Representative District 61","King","D",2022
"State Representative District 70","Plesa","D",2022
"State Representative District 66","Shaheen","R",2022
"State Representative District 33","Lynskey","D",2022
"State Representative District 73","Calhoun","D",2022
"State Representative District 73","Isaac","R",2022
"US Representative District 26","Burgess","R",2022
"US Representative District 24","McDowell","D",2022
"US Representative District 30","Crockett","D",2022
"US Representative District 5","Gooden","R",2022
"US Representative District 24","Van Duyne","R",2022
"US Representative District 33","Gillespie","R",2022
"US Representative District 5","Hill","D",2022
"US Representative District 33","Veasey","D",2022
"US Representative District 30","Rodgers","R",2022
"State Board of Education District 13","Davis","D",2022
"State Board of Education District 13","Monette","R",2022
"State Board of Education District 11","Hardy","R",2022
"State Board of Education District 11","Sifuentes","D",2022
"State Senator District 16","Copeland","R",2022
"State Senator District 12","Ly","D",2022
"State Senator District 16","Johnson","D",2022
"State Senator District 12","Parker","R",2022
"State Representative District 102","Fischer","R",2022
"State Representative District 108","Ginsberg","D",2022
"State Representative District 114","Bryant","D",2022
"State Representative District 107","Neave","D",2022
"State Representative District 100","Jones","D",2022
"State Representative District 112","Button","R",2022
"State Representative District 103","Anchia","D",2022
"State Representative District 115","Denis","R",2022
"State Representative District 111","Davis","D",2022
"State Representative District 105","Meagher","R",2022
"State Representative District 102","Ramos","D",2022
"State Representative District 108","Meyer","R",2022
"State Representative District 112","Curl","D",2022
"State Representative District 115","Johnson","D",2022
"State Representative District 111","Flores Yrigollen","R",2022
"State Representative District 105","Meza","D",2022
"State Representative District 114","Lamb","R",2022
"State Representative District 65","Thimesch","R",2022
"State Representative District 63","Bumgarner","R",2022
"State Representative District 57","Hayes","R",2022
"State Representative District 65","Verdell","D",2022
"State Representative District 63","Wooten","D",2022
"US Representative District 16","Escobar","D",2022
"US Representative District 16","Armendariz-Jackson","R",2022
"State Representative District 75","Gonzalez","D",2022
"US Representative District 7","Fletcher","D",2022
"US Representative District 7","Teague","R",2022
"State Board of Education District 8","Young","R",2022
"State Representative District 26","Jetton","R",2022
"State Representative District 28","Adriatico","D",2022
"State Representative District 27","Gilani","R",2022
"State Representative District 76","Lalani","D",2022
"State Representative District 26","Lee","D",2022
"State Representative District 28","Gates","R",2022
"State Representative District 27","Reynolds","D",2022
"State Representative District 76","Mathews","R",2022
"State Representative District 24","Bonnen","R",2022
"State Representative District 24","Creedon","D",2022
"State Representative District 44","Bohmfalk","D",2022
"State Representative District 44","Kuempel","R",2022
"US Representative District 29","Garcia","D",2022
"US Representative District 2","Crenshaw","R",2022
"US Representative District 18","Jackson Lee","D",2022
"US Representative District 29","Schafranek","R",2022
"US Representative District 2","Fulford","D",2022
"US Representative District 8","Jones","D",2022
"US Representative District 38","Hunt","R",2022
"US Representative District 8","Luttrell","R",2022
"US Representative District 38","Klussmann","D",2022
"US Representative District 18","Montiel","R",2022
"State Board of Education District 6","Hickman","R",2022
"State Board of Education District 6","Palmer","D",2022
"State Senator District 15","Vachris","R",2022
"State Senator District 15","Whitmire","D",2022
"State Representative District 145","Mabry","R",2022
"State Representative District 150","Brown Daniel","D",2022
"State Representative District 128","Cain","R",2022
"State Representative District 134","Johnson","D",2022
"State Representative District 148","Morales Shaw","D",2022
"State Representative District 138","Hull","R",2022
"State Representative District 129","Marvel","D",2022
"State Representative District 133","DeAyala","R",2022
"State Representative District 132","Campbell","D",2022
"State Representative District 131","Allen","D",2022
"State Representative District 135","May","R",2022
"State Representative District 145","Morales","D",2022
"State Representative District 150","Swanson","R",2022
"State Representative District 137","Wu","D",2022
"State Representative District 128","Crews","D",2022
"State Representative District 134","McConnico","R",2022
"State Representative District 148","Smith","R",2022
"State Representative District 138","Morales","D",2022
"State Representative District 129","Paul","R",2022
"State Representative District 132","Schofield","R",2022
"State Representative District 131","Monroe","R",2022
"State Representative District 135","Rosenthal","D",2022
"State Representative District 149","Truong","R",2022
"State Representative District 133","Maarouf","D",2022
"State Representative District 149","Vo","D",2022
"State Representative District 45","Lopez","R",2022
"State Representative District 45","Zwiener","D",2022
"State Representative District 4","Bell","R",2022
"State Representative District 39","Garcia","R",2022
"State Representative District 41","Guerra","R",2022
"State Representative District 39","Martinez","D",2022
"State Representative District 41","Guerra","D",2022
"State Representative District 22","Hayes","D",2022
"State Representative District 22","Randle","R",2022
"State Representative District 56","Anderson","R",2022
"State Representative District 56","Shank","D",2022
"State Representative District 15","Johnson","D",2022
"State Representative District 15","Toth","R",2022
"State Representative District 34","Herrero","D",2022
"State Representative District 34","Vaughn","R",2022
"US Representative District 12","Granger","R",2022
"US Representative District 12","Hunt","D",2022
"State Representative District 6","Grace","D",2022
"State Representative District 6","Schaefer","R",2022
"State Senator District 9","Burud","D",2022
"State Senator District 9","Hancock","R",2022
"State Representative District 95","Collier","D",2022
"State Representative District 97","Goldman","R",2022
"State Representative District 99","Coffey","D",2022
"State Representative District 94","Sherrard","D",2022
"State Representative District 92","Bhojani","D",2022
"State Representative District 98","Capriglione","R",2022
"State Representative District 93","Chowdhury","D",2022
"State Representative District 95","Mondick","R",2022
"State Representative District 97","McLaurin","D",2022
"State Representative District 99","Geren","R",2022
"State Representative District 94","Tinderholt","R",2022
"State Representative District 92","Livingston","R",2022
"State Representative District 98","Elkins","D",2022
"State Representative District 93","Schatzline","R",2022
"US Representative District 37","Doggett","D",2022
"US Representative District 37","Garcia Sharon","R",2022
"State Senator District 14","Eckhardt","D",2022
"State Representative District 46","Cole","D",2022
"State Representative District 51","Flores","D",2022
"State Representative District 49","Griffin","R",2022
"State Representative District 48","Howard","D",2022
"State Representative District 47","Goodwin","D",2022
"State Representative District 50","Johnson","R",2022
"State Representative District 51","Reynolds","R",2022
"State Representative District 49","Hinojosa","D",2022
"State Representative District 47","McCarthy","R",2022
"State Representative District 46","Strasser","R",2022
"State Representative District 50","Talarico","D",2022
"State Representative District 42","Brennan","R",2022
"State Representative District 42","Raymond","D",2022
"State Representative District 20","Camacho","D",2022
"State Representative District 136","Bucy","D",2022
"State Representative District 52","Echegaray","D",2022
"State Representative District 20","Wilson","R",2022
"State Representative District 52","Harris","R",2022
"State Representative District 136","Evans","R",2022
"State Board of Education (All)","Democrat","D",2002
"State Board of Education (All)","Democrat","D",2006
"State Board of Education (All)","Democrat","D",2016
"State Board of Education (All)","Democrat","D",2020
"State Board of Education (All)","Democrat","D",2010
"State Board of Education (All)","Democrat","D",2012
"State Board of Education (All)","Democrat","D",2022
"State Board of Education (All)","Democrat","D",2014
"State Board of Education (All)","Democrat","D",2018
"State Board of Education (All)","Democrat","D",2008
"State House (All)","Democrat","D",2002
"State House (All)","Democrat","D",2006
"State House (All)","Democrat","D",2010
"State House (All)","Democrat","D",2012
"State House (All)","Democrat","D",2018
"State House (All)","Democrat","D",2014
"State House (All)","Democrat","D",2020
"State House (All)","Democrat","D",2022
"State House (All)","Democrat","D",2008
"State House (All)","Democrat","D",2016
"State Senate (All)","Democrat","D",2018
"State Senate (All)","Democrat","D",2022
"State Senate (All)","Democrat","D",2010
"State Senate (All)","Democrat","D",2014
"State Senate (All)","Democrat","D",2008
"State Senate (All)","Democrat","D",2012
"State Senate (All)","Democrat","D",2006
"State Senate (All)","Democrat","D",2016
"State Senate (All)","Democrat","D",2020
"State Senate (All)","Democrat","D",2002
"US Congress (All)","Democrat","D",2002
"US Congress (All)","Democrat","D",2006
"US Congress (All)","Democrat","D",2010
"US Congress (All)","Democrat","D",2012
"US Congress (All)","Democrat","D",2018
"US Congress (All)","Democrat","D",2020
"US Congress (All)","Democrat","D",2008
"US Congress (All)","Democrat","D",2014
"US Congress (All)","Democrat","D",2016
"US Congress (All)","Democrat","D",2022
"State Board of Education (All)","Republican","R",2002
"State Board of Education (All)","Republican","R",2006
"State Board of Education (All)","Republican","R",2016
"State Board of Education (All)","Republican","R",2020
"State Board of Education (All)","Republican","R",2010
"State Board of Education (All)","Republican","R",2012
"State Board of Education (All)","Republican","R",2022
"State Board of Education (All)","Republican","R",2014
"State Board of Education (All)","Republican","R",2018
"State Board of Education (All)","Republican","R",2008
"State House (All)","Republican","R",2002
"State House (All)","Republican","R",2006
"State House (All)","Republican","R",2010
"State House (All)","Republican","R",2012
"State House (All)","Republican","R",2018
"State House (All)","Republican","R",2014
"State House (All)","Republican","R",2020
"State House (All)","Republican","R",2022
"State House (All)","Republican","R",2008
"State House (All)","Republican","R",2016
"State Senate (All)","Republican","R",2018
"State Senate (All)","Republican","R",2022
"State Senate (All)","Republican","R",2010
"State Senate (All)","Republican","R",2014
"State Senate (All)","Republican","R",2008
"State Senate (All)","Republican","R",2012
"State Senate (All)","Republican","R",2006
"State Senate (All)","Republican","R",2016
"State Senate (All)","Republican","R",2020
"State Senate (All)","Republican","R",2002
"US Congress (All)","Republican","R",2002
"US Congress (All)","Republican","R",2006
"US Congress (All)","Republican","R",2010
"US Congress (All)","Republican","R",2012
"US Congress (All)","Republican","R",2018
"US Congress (All)","Republican","R",2020
"US Congress (All)","Republican","R",2008
"US Congress (All)","Republican","R",2014
"US Congress (All)","Republican","R",2016
"US Congress (All)","Republican","R",2022
