"office","name","party","year"
"State Representative District 88","Chisum","R",2006
"State Representative District 86","Smithee","R",2006
"State Board of Education District 12","Miller","R",2006
"State Representative District 102","Goolsby","R",2006
"State Representative District 102","Miller","D",2006
"State Representative District 114","Hartnett","R",2006
"State Representative District 114","Shinoda","D",2006
"US Representative District 32","Pryor","D",2006
"US Representative District 32","Sessions","R",2006
"State Representative District 107","Keffer","R",2006
"State Representative District 107","Vaught","D",2006
"US Representative District 3","Dodd","D",2006
"US Representative District 3","Johnson","R",2006
"US Representative District 30","Aurbach","R",2006
"US Representative District 30","Bernice Johnson","D",2006
"State Representative District 101","Latham","R",2006
"State Representative District 100","Hodge","D",2006
"State Senator District 2","Deuell","R",2006
"State Representative District 113","Brandler","D",2006
"State Representative District 113","Driver","R",2006
"State Representative District 112","Hill","R",2006
"State Representative District 103","Anchia","D",2006
"US Representative District 24","Marchant","R",2006
"US Representative District 24","Page","D",2006
"State Representative District 108","Borden","D",2006
"State Representative District 108","Branch","R",2006
"State Representative District 105","Harper-Brown","R",2006
"State Representative District 105","Romano","D",2006
"US Representative District 26","Barnwell","D",2006
"US Representative District 26","Burgess","R",2006
"State Representative District 65","Solomons","R",2006
"State Representative District 111","Davis","D",2006
"State Representative District 111","Werner","R",2006
"State Representative District 104","Alonzo","D",2006
"State Representative District 106","England","R",2006
"State Representative District 106","Hubener","D",2006
"State Representative District 10","Horn","D",2006
"State Representative District 10","Pitts","R",2006
"State Senator District 22","Averitt","R",2006
"US Representative District 6","Barton","R",2006
"US Representative District 6","Harris","D",2006
"State Representative District 89","Harris","D",2006
"State Representative District 89","Laubenberg","R",2006
"US Representative District 4","Hall","R",2006
"US Representative District 4","Melancon","D",2006
"US Representative District 19","Neugebauer","R",2006
"US Representative District 19","Ricketts","D",2006
"State Representative District 3","Hollingsworth","R",2006
"State Representative District 3","Homer","D",2006
"State Representative District 64","Crownover","R",2006
"State Representative District 64","McLeod","D",2006
"State Senator District 12","Fullingim","D",2006
"State Senator District 12","Nelson","R",2006
"State Board of Education District 10","Dunbar","R",2006
"State Senator District 18","Hegar","R",2006
"State Board of Education District 3","Agosto","D",2006
"State Board of Education District 3","Cunningham","R",2006
"State Representative District 35","Esparza","R",2006
"State Representative District 35","Gonzalez Toureilles","D",2006
